address,name,phone,website
"8/6 Firewheel Place, Suffolk Park, NSW, 2481",Intouch Yoga Byron Bay,0418441437,http://www.intouchyogabyronbay.com
"8 Waratah St, Rushcutters Bay, NSW, 2011",Seasonal Yoga Treats,0419609991,http://seasonalyogatreats.com.au
"4 Jetty Place, Heathridge, WA, 6027",Inner Mind Therapies,0403357656,http://innermindtherapies.com.au
"St. James Trust Building, Suite 416, 185 Elizabeth St, Sydney, NSW, 2000",Isabelle Truong - Intuitive Resolution,0403447708,http://www.intuitiveresolution.com.au
"1B / 318 Junction Road, Clayfield, QLD, 4011",Marta Browne - Psychotherapist & Integrative Naturopath,07 3143 3688,http://martabrowne.com
"3309A/100 Harbour Esp, Docklands, VIC, 3008",Mr Meditate,0411345509,http://mrmeditate.com
"Lane Cove Tennis Club, Central Park, Kenneth Street,, Longueville, NSW, 2066",ingrid Shaw Pty Ltd,0414943953,http://www.yogabowl.com.au
"34/70-74 Phillip St, Parramatta, NSW, 2150",Yoga Sadhana,0481166593,http://www.yogasadhana.com.au
"98-100 Goodwood Road, Goodwood, Adelaide, SA, 5064",Your Inner Calm Coach,409677038,http://www.yourinnercalmcoach.com/
"26 Bristol Street, Aldinga Beach, SA, 5173",Megan Spencer Meditation,0414 835 158,http://www.themeganspencer.com/meditation/
