address,description,image,location,number,seller,symbol,title,unit,url
14 Birch Avenue,"Spacious one bedroom suite in a quiet neighborhood on Birch Avenue off Mahogany Way. Available immediately. Nicely furnished with kitchen/living area, bedroom with a king size bed and onsite laundry for tenants only use. Comes ready to move in with a smart TV, couch and crockery.
On bus route. 3 minutes to Hurley’s and 15 minutes drive to Georgetown.
Single professional or couple only. No smokers, no kids, no pets. Available for viewing from Saturday 4 July. Rent includes light and water for a max of 2 people.
1-Year lease contract with full month's deposit of CI$ 1,250 and one month rent upfront.
Contact 939 4721 for more information.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/03/2224507.jpg,Red Bay/Prospect,"1,250",scolactuary,$, ALL INCLUSIVE ONE BEDROOM APARTMENT IN A SAFE NEIGHBORHOOD IN PROSPECT,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=10
"Frank Sound Rd,KY1-1301","This beautiful family House  with. 3 bed/2 bath home is located in  Frank Sound.Huge fully equipped house  with everything new. Security System and much more.CI$2500 per month. Long Term rent. Contact us today. +1 345 (926) 0330
+1 345 (328)-0729",,East End/High Rock,"2,500",Edy,$,Family House to Rent ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=10
Capt Allies Road,"Studio apartment for Short Term Rent in quiet neighborhood in West Bay within walking distance to supermarket, bank, restaurants and beach.  Available August 1. Water, light and internet included.
Contact 526 5466",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/04/2225897.jpeg,West Bay,800,Jewel Maria Bush,$, Apartment for Rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=9
Fairbanks rd.,"Attractive, modern 1 bedroom + loft, 1 bathroom at Emerald Isle on Fairbanks Road, South Sound.
Situated in a quiet residential neighbourhood, minutes to shopping, schools, medical facilities, and George Town.
The property features swimming pool, gazebo, and electronic gated entry.
The unit is attractively furnished and offers open concept living/dining, granite counter tops, Whirlpool/Kenmore stainless steel appliance package, glass top stove, dishwasher, microwave, stackable washer/dryer, and modern styled bathroom.  Perfect for a professional single or couple. One small dog may be permitted. $2,000 CI plus utilities. Available Now   Call or WhatsApp Deb for showing 324-0190",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/03/2224617.jpg,South Sound,"2,000",Deb Morrison,$,Emerald Isle Fairbanks,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=10
"Town hall Road,391","For Rent New one bed room Apartment, Located at the Providence, on Town hall Road West Bay, this Apt. has a very special feature Bedroom with A Full Bath upstairs and a second Full Bath down stairs, ONLY A  Couple or a single person need to Apply, NO Pets, and this Apt. is not ideal for Children Special Offering Included upto CI$100.  towards first month water bill,
Personal Internet can  also be installed, A Security deposit equal to one month's Rent are Required,  For appointment please call
Elsie @ 926-3456",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/04/2225830.jpg,West Bay,"1,000",K.E.,$,Beautiful One Bed Room with a Very Special Feature ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=9
Town hall,"One bed apt In west bay
Own kitchen bedroom and bathroom.
AC, gas stove and use of swimming pool and bbq deck. Walking distance to westbay beach
Includes all power and water.
Available 1st Aug.
Call or WhatsApp Debbie 9264512",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/04/2226024.jpeg,West Bay,"1,250",Debbie Mcintosh,$,One bed apt for rent ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=9
John Greer Blvd,"*large 2 Bedroom/2.5 Bathroom apartment
*with screened back porch
*with swimming pool and gym
*central a/c
*washer and dryer
*Open floor plan
*Kitchen with granite counter top, fridge/freezer, electric range, dishwasher.
*Cable included
*large bedroom closets and extra storage under the stairs
*large flat screen TV
*great location, close to schools and all amenities.
*Hurricane shutters
*Move in ready
* pref. one family, non-smokers
*small dogs allowed with pet deposit
* CI$2400 per month
* utilities excluded
* Security deposit required, one month's rent
Contact Kruse at 938-5787",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/05/2228045.jpg,George Town,"2,400",Kruse Smith,$,Sunset Retreat 2Bed/ 2.5 Bath Available 1st Aug,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=8
"Mount Pleasant,Mouth pleasant","Studio Apartment for rent Includes::::
Water:::::::::
Light::::::::
Air conditioning only at night ::::Internet:::::::::
Washing machine::::::::
located in west bay near bus stop supermarket mall shoping available for  marriage oh 2 people wishing to share
Deposit 800.00dollar
more monthly rent 1100
contract is not accepted through N _A _U
INTERRESTING CAN CALL 517 43 78
AVAILABLE AUGUST 7 ONLY INTERESTED PERSON REQUIRED",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/05/2228114.jpg,West Bay,"1,100",cleolito,$,Studio Apartment for rent Includes:::: Water Light Air conditioning only at night   Internet Washing machine located in west bay available for  marriage oh 2 people wishing to share Deposit 800.00dollar more monthly rent 1100 contract is not accepted thr,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=8
Shamrock Road,"Beautiful end unit in centrally located complex
1-bed rooms 1 Bathroom
Fully Furnished
fully equipped kitchen
pool front
screened in patio
great natural light
dishwasher
storage
in-unit washer and dryer
designated parking space - newly resurfaced parking lot
5 pools
 tennis court
children's play area
boardwalk
fob entry onsite gym - recently upgraded
24-hour onsite security
onsite groundskeeper
close to schools, groceries town and an easy drive to eastern districts
Pet-friendly complex
Pet deposit of 100.00 KYD per pet (small breed)
Pet deposit of 200.00 KYD per pet (large breed)
1500KYD per month - plus utilities
1-month security deposit
minimum of 6-month lease
Available 15th July 2020
contact via sidebar contact option or via Whatsapp 3459254676",,Red Bay/Prospect,"1,500",michael ebanks,$,1 bed 1 bath Ocean Club Apartment,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=8
"54 Tropical Garden , George Town , Grand Cayman,KY11011","1 Bedroom apartment available for immediate occupancy .(perfect for a couple )
With all amenities ,TV , Washer Dryer... ( Includes Utility)
Has its own Utility Meters .
Minimum 6 months contract .
Only Serious Inquiries call or Whats app : 9392213 or Email : ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/05/2228042.jpg,George Town,"1,200",Prashanth Puthillath,$, 1 Bedroom Apartment for Immediate Occupancy ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=8
North West Point Road,"Presenting this spacious townhouse in popular area of West Bay across from the Lighthouse Dive spot on North West Point Road. The property has welcoming and bright reception hallway with laundry closet, open plan breakfasting kitchen, dining area, downstairs half bath, lounge area leading to the back patio. Upstairs are two good sized bedrooms, both with en-suites and ample storage. The unit is fully furnished and has central AC. Ideally suited to a professional single or couple. Sorry no kids or pets. Call Tegan 925 2647 or Aliza 925 2798 ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222610.jpg,West Bay,"2,500",REM SERVICES,$,West Point Townhomes - 2 bed /2.5 bath - 6 months only. Avail Now! ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
Hope Springs,"This lovely 1,237 sq.ft. 2 bed/ 2.5 bath townhouse is conveniently located close to schools, hospitals, central GT and shopping. Fully furnished, flat screen TV/ basic cable included, screened in patio, laundry room, lots of storage, pool, kids play area. No pets!Available July 1, 2020Please call Gigi 326-2590
e-mail: RMLS# 509",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222635.jpg,George Town,"1,950",Gigi,$,2 BED/ 2.5 BATH FOR RENT - HOPE SPRINGS,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
Snug Harbour,"This 3,000 sq. ft. 4 bed/4 bath home is located in Snug Harbour – Jennifer Drive, walking distance to Camana Bay, Seven Mile Beach, restaurants and shopping. Huge fully equipped kitchen, formal dining area, king size bed in the master, ensuit bathrooms, split A/C, family room, full size washer & dryer. 2 car port, big back yard with a large open-air patio, perfect for entertaining and family BBQ gatherings.Small pet possible with Landlord’s approval and pet deposit.CI$3,500 per month plus utilities.Please call Gigi 326-2590Or e-mail: 
Member of CIREBA
RMLS 402",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222726.jpg,Seven Mile Beach Corridor,"3,500",Gigi,$,4 BED/ 4 BATH HOME FOR RENT – SNUG HARBOUR- Jennifer Drive,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
Plantation Village,"This completely renovated corner unit 3 bed/ 2 bath condo is located in Plantation Village – SMB, walking distance to restaurants, shopping and Camana Bay. Fully furnished, gorgeous kitchen, granite countertops, SS appliances, huge screened in balcony, spectacular ocean view, 2 swimming pools and tennis court. Must see!!! No pets!Cable TV & Internet INCLUDED!!!Available NOW until December 2020US$5,000 per monthContact me for more information 326-2590

Member of CIREBA
RMLS 403",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222699.jpg,Seven Mile Beach,"5,000",Gigi,$,STUNNING 3 BED/ 2 BATH – PLANTATION VILLAGE – SMB,USD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
"497 West Bay Road,KY1-1204","Take a break on SMB at Cayman Reef Resort in a 3Bed/2Bath gorgeous condo. Any 3 nights for $999 KYD or stay longer for 7 nights $1999 KYD. Period valid July 1 - Nov 1. Owners home away from home. Top of the line furniture & mattresses.  All utilities, fiber internet, TV included. Washer&Dryer in unit. Nightly security. No pets. No smoking. See more at www.CaymanReefResort56.com Online calendar is current.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222710.jpg,Seven Mile Beach,999,Marc Hubert,$,STAYCATION on SMB with BEST PART OF THE BEACH in 3Bed/2bath Condo,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
Snug Harbour,"This beautiful 1,437 sq. ft. 2 bed/2.5 bath townhouse is located in Snug Harbour – end of Jennifer Drive. Fully furnished, gorgeous kitchen, granite countertops, SS appliances, split A/C, spacious living area, flat screen TV, hurricane shutters, screened in porch, pool.https://www.williams2realestate.com/properties_to_rent/snug-harbour-villas-2-bed-2-5-bath/Available NOW!
CI$2,600 per monthPlease call Gigi 326-2590
Or e-mail: RMLS #480
Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222787.jpg,Seven Mile Beach Corridor,"2,600",Gigi,$,SNUG HARBOUR VILLAS- 2 BED/ 2.5 BATH,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
TIDES South Sound Road,"Ideally situated on the most beautiful stretch of beach in South Sound, TIDES offers majestic views of the ocean from it's stunning 18' floor-to-ceiling windows. This 3 bedroom unit is located on the 3rd floor (#304) and provides a luxurious condo-style living on the beach with incredible amenities. Featuring an open kitchen, living and dining area, top-of-the-line Thermador appliances, geothermal cooling, three spacious bedrooms with walk-in closets and views from the master bedroom and main floor area that will take your breath away! Residents will enjoy a resort-style pool and hot tub, expansive beach area, fully-equipped gym and storage units. There is also a huge roof-top terrace featuring outdoor BBQ and entertaining areas where you can enjoy unrivalled sunrises and sunsets. A must see!! This unit is available now. Rent is US $10,000 + CUC and Water. Cable and Internet are included. To view or for more information contact Tania Knapik at ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222724.jpg,South Sound,"10,000",NCB Group,$,Stunning 3 Bedroom Oceanfront Condo at TIDES,USD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
Ritz-Carlton,"Stunning 3 bed/ 3.5 bath Residence at The Ritz - North Tower. Fully furnished, beautiful kitchen, SS appliances, spacious & bright living room, spectacular ocean views. Must see!Small pet possible with Landlord's approval!Available NOW! ( Short term or month to month)US$15,000 per month plus utilitiesRMLS#479Please call Gigi 326-2590
Or e-mail: 
Member of CIREBA",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222776.jpg,Seven Mile Beach,"15,000",Gigi,$,RESIDENCE AT THE RITZ- NORTH TOWER- SHORT TERM,USD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
Palm Heights Drive,"Presenting this bright and spacious apartment on the canal on Palm Heights Drive, Snug Harbour. The property comprises open plan kitchen/ dining/ lounge with breakfast bar and laundry room, master bedroom with en-suite bathroom, vanity area and closet, second bedroom with ample closet space and family bathroom. The unit is nicely furnished with recent furniture upgrades in the lounge. Patio is fully screened and has access to the dock. The property boasts central A/C, basic cable included, allocated parking and on-site swimming pool. Ideally located on the Seven Mile Beach Corridor, close to the beach, schools, Camana Bay and lots of shops and bars, this is the perfect island property. Kids and pets welcome! Available July 1st. Call Tegan 925 2647 or Aliza 925 2798",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222689.jpg,Seven Mile Beach Corridor,"2,800",REM SERVICES,$, Las Casitas  -2 Bed / 2 Bath upper floor apartment - Snug Harbour- Avail Now! ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
"241 Smith Road,Tropical Plaza","Shop for Rent
Location: 241 Smith Road , Tropical Plaza , Across Cayman Prep Primary School
Can be Used for Shop / Office / Commercial Great Location with a lot of Traffic Great Opportunity for Business / Great Location Call for Viewing and Pricing Number : 1-345-525-7873 or 1-345-922-9848Note: Serious Enquires Only",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222795.jpeg,George Town,,Daniel Munroe_3,,Shop For Rent / George Town !!,,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
1 Red Gate Shops,"Office Space for Rent Location : 1 Red Gate Shops, George Town Great Place to Run A Business Ideal Office Space Call for Viewing and Pricing Number : 1-345-525-7873 or 1-345-922-9848Note: Serious Enquires Only",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222818.jpg,George Town,,Daniel Munroe_3,,Office Space For Rent / George Town ,,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
SpringField Courts,"Amazing location, this townhouse is located walking distance to Kirk super market and few minutes’ walk to the Seven Mile Beach corridor. 2bedroom,1.5 bathroom is available July 10th,2020,$1,5000CI per month plus utilities. Pets are allowed with a pet deposit. The complex has a swimming pool and the unit has a backyard area.For more information please contact me thru EcayTrade.
Thanks!",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222844.jpg,George Town,"1,500",Ecay Seller 2019,$, 13 Springfield Court For Rent!,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
95 Snooze Lane,"Located at the The Grandview Condominiums, this beautiful new long term rental condo is available immediately.Conveniently located less than one mile from George Town , the Grandview boasts the seclusion and tranquility you could ask for living on Seven Mile Beach.Condo amenities include:
Over 1,400 Square feet of living space
Modern kitchen with brand new stainless steel appliances
Large spacious open plan dining and living area
Fully furnished
Stunning master with en-suite bath including large dual walk-in shower and walk-in closet.
Located third floor with vaulted ceilings and screened in patio offering breathtaking views of the property and Caribbean Sea.Logic High Speed Fiber Internet and HDTV includedComplex amenities include:
Privacy and serenity
Direct access from patio to 650 feet of exclusive beachfront
Lush landscaped gardens
Swimming pool & spa
Private lit Tennis court
Beautifully landscaped gardens
Communal BBQ grills
Amazing community
Nightly SecurityRent -$4,300 USD p/m
Security Deposit required
Utilities (Electricity/Water/Telephone) are separate.***No smokers, no pets***For more information contact the Grandview Management office at 945-4511 or email via this ad.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222948.jpg,Seven Mile Beach,"4,300",Grand View Condominiums Management Office,$,Third Floor 2BR Ocean View - Avail NOW,USD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
38 Juniper Drive,"Fabulously renovated duplex.  3 bedroom/3,.5bath duplex. new kitchen, flooring, furniture.  Great areas of West Bay, near Dominos Piazza. Large yard, pet allowed with deposit fenced yard.  Internet included
Call Dale on 324-1124",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2223016.jpg,West Bay,"2,500",JonK,$,WB 3 bed/3.5bath with yard,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
"Newport Ave (off Keturah - off Walkers Rd),Lemon Grove Condos","LEMON GROVE 54 Newport Avenue, George Town
Absolutely fabulous 2 bedroom 2.5 bath modern townhouse
A short walk to town,  hospitals, and schools.
 $2000 CI + utilities and cable
SHOWING THIS SATURDAY - JULY 4th from 11-12.30 - by appointment- FULLY EQUIPPED with linens, kitchenware,  small appliances
- 55 inch LG SMART TV  (wired for fiber but lease does not include service)
- Granite in Kitchen & bathrooms
- 5 Stainless appliances
- Each bedroom has a Queen bed, 2 dressers, night stands, & spacious lighted closets,
- 2 Full bathrooms on upper floor, one of which is en-suite
- Second floor laundry
- Marble flooring on ground level, wood on upper level & staircase
- Beautiful high-end hardwood dining table can seat 8
- Unit has real hardwood quality furniture
- Large private furnished patio
- Ceiling fans in each bedroom and Living room area
- Hurricane shutters
- Efficient central a/c
- Security system
- Huge cool and high clearance attic with drop down ladder for storage
- Pool
- Assigned parking space
- Well maintained strata
- 12 minute walk to Smith Cove,  & Walker Rd schools / 5 minute walk to town
- 80% of residents are medical staff
   Just bring your suitcases! Ideal for new arrivals!
   Security deposit can be paid over 2 month period
   Won't last long - great deal!Perfect for couple, or professional individual. Sorry no pets, children under 10 years of age, or indoor  smokers. More photos available.Call 924-1455 or email:  to arrange a viewing",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2223412.jpg,George Town,"2,000",Renee Rogers,$,"Walk to Town, Schools, Beach. Spacious Executive Townhouse off Walkers Rd",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
"Villas Pappagallo,Conch Point Road","Spacious 1 bed,1 bath condo
Beautiful sandy beach, large pool, amazing breezes, snorkelling right on your doorstep
Fully equipped kitchen including dishwasher, washer/dryer
No pets - sorry
Available  August
CI$1600 p/m + utilitiesCall or What'sApp - 9168855 to view",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2223118.jpg,West Bay,"1,600",Amanda,$," Villas Pappagallo - 1 bed, 1 bath",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
Watercourse Road,"1 room available in a family house.  Shared kitchen and bathroom and access to washer & dryer.  Excellent location in West Bay on Watercourse Road.  Main public bus route.  Single, clean, quiet male preferred.  If a couple rent $450 pm. Deposit $150 can be paid over 2 months.  Available immediately.",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2223472.jpg,West Bay,400,DAE,$, Single Bedroom All Inclusive For Rent In West Bay,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=11
"CANAL POINT DRIVE,CANAL POINT DRIVE","A lovely 2 bed 2 1/2 bath in 2nd phase of Southampton Gardens. Screened in patio. Split a/c. TV and Internet included. Complex includes flood lit tennis court, large fully equipped gym and swimming pool with communal BBQ.  Conveniently located 5 mins from Camana Bay, CIS school and 7-mile beach.  Perfect location for professionals or a small family. Pets considered.Available mid JulyCI$2450917-6270",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2221579.jpg,Seven Mile Beach Corridor,"2,450",sarah,$,"SOUTHAMPTON GARDENS,  2 BED 2 1/2 BATH, PHASE 2",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
"# 9 lindys walk,west bay islas cayman grand cayman,2768","Description:
Excellent apartment Located in West Bay # 9 Lindys Walk
Near to mini market, Supermarket, beach, restaurants, bus stop and more.-Price
$ 1300 per month / Plus one month deposit.-Including CUC, Water and Internet.
-Available for professional single person or couple, children are not allowedDescription
-1 Bedroom
-1 Bedroom
-Spacious bedroom with closet,
- Dining room
- kitchen
- Furnished
- quiet zone
- Super clean
- Parking available
- safe place
- countertop
- hot water heater
- A / C Split unit in the room- Washer and dryer is not included but is a few minutes walk from the apartmentContact Numbers 9243661 / 9264190 / email Animals are not allowed on site",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2221564.jpg,George Town,"1,300",Genova Christian,$, 1 Bedroom / 1 Bathroom Apartment For Rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
lime tree bay ave 121,"Renovated second floor apartment for rent immediately.200 mts. to Governors beach and across the street from Cost U Less
Hardwood floor, open space kitchen with granite counter top, hurricane rated windows and many more features. AC just serviced.
Complex has swimming pool (heated in winter), Gym (small fee applies) and two tennis courts.For inquiries and visits please whatsapp +1(345)325-7978",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2221857.jpg,Seven Mile Beach Corridor,"2,600",Matias,$,Lime tree bay renovated 2 bed 2 bath for rent!,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
Avoca Lane,"This lovely 2 bed/ 2 bath is conveniently located close to shopping, restaurants and Seven Mile Beach. Fully furnished, front load washer & dryer, Smart TV's in each room, ensuit bathrooms, zoned A/C, beautiful porch and pool. Must see! Pets possible with Landlord's approval and pet deposit. Available NOW.CI$2,400 per month (All Inclusive)RMLS#558Call Gigi 326-2590
or e-mail: ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/img_3452.jpg,West Bay,"2,400",Gigi,$,LOVELY 2 BED/ 2 BATH – AVOCA LANE – ALL INCLUSIVE,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
197 keturah street,"Furnished 1 bedroom with en-suite bathroom in a 2 bed/ 2bath apartment. Kitchen & living area are shared with INDIAN couple. Looking for clean & professional housemate.
Available 1 week of July
Kyd 950 ( All inclusive of CUC, Water, Internet)
Security Deposite Kyd 650 Required.
Central A/C
Washer/ Dryer
Plenty Of Parking
What’s app :- 1-345-3222-888",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2221678.jpeg,George Town,950,Cayman seller_21,$,1 bed en-suite bath Available in 2 bed 2 bath Apartment ,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
Jellicoe Quay,Large privately owned dock available for a long-term net lease in a large canal with access to North Sound. Dock comes with fish cleaning table and hookups to water and utilities. The dock is appropriate for preferably one large vessel and the canal is very private with little boat traffic.,https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2221884.jpg,West Bay,850,Brodhurst,$,Dock for rent,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
Herons Gate,"This lovely 1,300 sq. ft. 2 bed + den/ 2 bath is located close to schools, hospitals and central George Town. Fully equipped kitchen, new appliances, flat screen TV, full size washer/dryer, fully fenced back patio, pool.Available mid- July 2020CI$2,350 per monthRMLS#561Please call Gigi 326-2590
Or e-mail: ",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2221931.jpg,George Town,"2,350",Gigi,$,2 BED + DEN/ 2 BATH- HERONS GATE,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
The lakes at Poindexter,"This beautiful corner unit 3 bed/3 bath is located in Spotts- Poindexter Road, 10 minute drive to George Town. Gorgeous kitchen, stainless steel appliances, granite countertops, 2 storage areas, wooden floors, ensuit bathrooms, split A/C, screened in porch, pool, kids pool, cabana, gym, gated community. Must see! No pets!Available 1st August 2020CI$2,350 per monthPlease call Gigi 326-2590
Or e-mail: RMLS #575",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2221978.jpg,Spotts,"2,350",Gigi,$,3 BED/ 3 BATH FOR RENT- THE LAKES AT POINDEXTER- SPOTTS,USD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
Sunrise Blvd,"This large, bright and airy 2 bed/2.5 bath has a large open plan, kitchen/dining, living area which opens up onto a large patio.  Upstairs, there is a large master and second bedroom, both with en-suite. The master bedroom, has a large walk in closet, lots of storage.Great location, close to Hurley's Supermarket and Kings Gym, the property boasts, a large pool, tennis court and gym with lush, mature landscaping.Available Now!Children welcome, sorry no pets. contact Aliza 925.2798 or Tegan 925.2647
",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2221945.jpg,South Sound,"2,300",REM SERVICES,$,Sunrise Phase III 2 Bed 2.5 Bath Available Now!,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
West Bay Rd.,"Presenting this bright and modern 2 bedroom / 1.5 bathroom apartment at 'Park Place' on West Bay Road, Seven Mile Beach. The property comprises open plan kitchen/dining/lounge, with laundry closet, and full bathroom, upstairs has two double bedrooms and full bathroom. The unit has been tastefully decorated with neutral tones throughout, is fully furnished and walking distance to several shops and restaurants. The property boasts central AC, washer/dryer, and residents parking. Avail Now!  Sorry no pets. Call Aliza 925 2798 or Tegan on 925 2647
",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222021.jpg,Seven Mile Beach,"2,300",REM SERVICES,$,"Park Place, Seven Mile Beach - 2 Bed / 1.5 Bath - Avail Now!",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
Prospect Point Rd,"Presenting this fantastic 2 bedroom / 2 bathroom second floor condo at Lantern Point. The property comprises open plan lounge/dining/kitchen, two good sized bedrooms, master with en-suite and walk in closet, the second bedroom with jack and jill bathroom and balcony off the lounge. Central AC,  Cable TV service and use of the excellent complex amenities. This gated community boasts pool, gym, tennis courts and beautiful landscaping. Available now. Ideally suited to a professional single or couple. Small family (1 child) considered, sorry no pets. contact Aliza 925-2798 or Tegan 925-2647
",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222119.jpg,Red Bay/Prospect,"2,100",REM SERVICES,$,Lantern Point 2 Bed / 2 Bath Available now!,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
Jibe Close,"Incredible Caymanian Cottage with porch FOR RENT as from July 14th. Property sits on 1.4 acres of fenced land. Ideal for pets. Queen bed in master, double in second. 900 ft main floor with 300 ft of loft space. Loft has extra beds for guests and ideal home office. Peaceful location close to West Bay convenience stores, Fosters and Beach. Available 14th JulyCONTACT AMBER to view 926-0396 CIREBA member
RL 587",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222442.jpeg,West Bay,"1,400",Amber Yates,$, Caymanian Cottage.       FOR RENT,KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
Fairbanks Rd,"Presenting this fantastic fully furnished townhouse in popular Hilton Estates development. Consists great sized breakfasting kitchen, dining area, lounge with downstairs half bath and under stair storage, two double bedrooms both en-suite, washer/dryer and ample storage. Further boasts flat screen TV including basic cable, split level central A/C, and hurricane shutters. Great communal swimming pool and ample residents parking.Ideally located close to schools, Field of Dreams, hospitals and town.Kids Welcome, Sorry no pets.Available August 1st! A Must See!Contact Aliza 925-2798 or Tegan 925-2647
",https://ecaytrade.com/sites/default/files/styles/ecaytrade_ad_grid/public/images/20/07/02/2222180.jpg,South Sound,"2,200",REM SERVICES,$,"Hilton Estates, South Sound - 2 Bed / 2.5 Bath! - Available August 1st",KYD,https://ecaytrade.com/cayman/real-estate/for-rent?page=12
